title,summary,url,published,sentiment_score,sentiment_label,source_api,text_for_sentiment,relevance_score,full_text_fetched,relevance
India's Hindustan Aeronautics posts quarterly profit rise as 'other income' surges - Reuters,India's Hindustan Aeronautics posts quarterly profit rise as 'other income' surges  Reuters,https://news.google.com/rss/articles/CBMiwgFBVV95cUxNMHE3bEYwNzg4d2N5aHhKSm1MUTJwNVRJTDlqNlcxTGVON2htdFFlRGVsQWU2clE0QzJDV1Y1cERmSTZpSy1tWjhQdHJFX3BIUzBZYjdOSUNucEhwcGg3VFhIWGhwQ1ZXWm1ZeUM5V2JMNWNNQUxTYWhyVEpxVXpzVzRFOE81UTlSQTNmY20zSG9WQ1MtbUtIbll0OC1zcG1PNU5MOEtxZXdER05fTW5CYUY2QllkaDZ3S0RmazB5bU5uUQ?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"Thu, 14 May 2026 07:00:00 GMT",,,GNews,India's Hindustan Aeronautics posts quarterly profit rise as 'other income' surges  Reuters,0.25,,
"Hindustan Zinc Contributes ₹18,846 Crore to Exchequer in FY26 - Machine Maker","# Hindustan Zinc Contributes ₹18,846 Crore to Exchequer in FY26. Hindustan Zinc Limited, India’s only and the world’s largest integrated zinc producer, contributed ₹18,846 crore to the national exchequer in FY 2025–26, according to its 9th Tax Transparency Report. With this, the company’s cumulative contribution to the exchequer over the past five years has reached ₹91,572 crore, reinforcing its position as one of the key contributors to India’s mineral and industrial revenue base. The contribution accounted for 46% of the company’s total revenue during FY26. The FY26 contribution includes ₹6,637 crore in indirect taxes, ₹5,073 crore in royalties (including contributions to District Mineral Foundation and National Mineral Exploration Trust), ₹4,552 crore in taxes on income, ₹1,180 crore in dividend payments to the Government of India, ₹755 crore in withholding taxes, and ₹593 crore in other taxes borne, along with ₹56 crore in additional indirect contributions. Hindustan Zinc has also been ranked the world’s most sustainable metals and mining company by S&P Global Corporate Sustainability Assessment 2025 for the third consecutive year.",https://themachinemaker.com/news/hindustan-zinc-contributes-%E2%82%B918846-crore-to-exchequer-in-fy26/,,,,Tavily,"# Hindustan Zinc Contributes ₹18,846 Crore to Exchequer in FY26. Hindustan Zinc Limited, India’s only and the world’s largest integrated zinc producer, contributed ₹18,846 crore to the national exchequer in FY 2025–26, according to its 9th Tax Transparency Report. With this, the company’s cumulative contribution to the exchequer over the past five years has reached ₹91,572 crore, reinforcing its position as one of the key contributors to India’s mineral and industrial revenue base. The contribution accounte",0.25,,0.0018748618
Air India A319 may have passed within 100ft of Indian navy Dhruv helicopter - FlightGlobal,"***Incident transcript suggests Air India A319 had to descend sharply to avoid Indian navy helicopter.***. An Air India Airbus A319 departing Port Blair in 2024 had an airprox incident with an Indian Navy Hindustan Aeronautics ALH Dhruv Mk III helicopter. The incident occurred about 08:00 local time on 2 February 2024 after the aircraft (VT-SCV) took off from runway 22 in clear conditions to operate service AIC788 to Kolkata, according to a final report by India’s Aircraft Accident Investigation Bureau. Prior to the A319 taking off with instructions to climb to 4,000ft, navy controllers – who manage air traffic control at Port Blair – had cleared the helicopter, which was conducting a training flight, for the outbound leg of an ILS practice approach to runway 04. According to the report’s text, the A319 crew did not receive a TCAS notification but spotted the helicopter visually and descended to avoid it.",https://www.flightglobal.com/defence/2026/05/air-india-a319-may-have-passed-within-100ft-of-indian-navy-dhruv-helicopter/,,,,Tavily,"***Incident transcript suggests Air India A319 had to descend sharply to avoid Indian navy helicopter.***. An Air India Airbus A319 departing Port Blair in 2024 had an airprox incident with an Indian Navy Hindustan Aeronautics ALH Dhruv Mk III helicopter. The incident occurred about 08:00 local time on 2 February 2024 after the aircraft (VT-SCV) took off from runway 22 in clear conditions to operate service AIC788 to Kolkata, according to a final report by India’s Aircraft Accident Investigation Bureau. Pri",0.25,,0.02350945
Hindustan Aeronautics Ltd Sees High-Value Trading Amid Sector Weakness - Markets Mojo,Hindustan Aeronautics Ltd Sees High-Value Trading Amid Sector Weakness  Markets Mojo,https://news.google.com/rss/articles/CBMixwFBVV95cUxPS1lCakhuLThjUUNPUzJ3UnFtM19aOXFKTHdGU1o2bVFZcFFwZHBERjItejFGR2tSblREbmJWaWVDeGdwbFd6RDJ2M3FHYzh3ekRqNnpSQ2p0VHVsWllTcUpfdWJJd0dwNTNvTlJlN2lZVnNwalg3Q2dOOGpybTIwTlg2dVBWVC1mZmpiYjAxT2tEVlJkZ1VxamxkUER4aEhhU1JkN0dZd2Z2RXRjdUlSRFZsZFZFS2ZaWnp0WEFyZ3AzR1g5LTVr?oc=5&hl=en-IN&gl=IN&ceid=IN:en,"Wed, 27 May 2026 21:09:09 GMT",,,GNews,Hindustan Aeronautics Ltd Sees High-Value Trading Amid Sector Weakness  Markets Mojo,0.25,,
Aerospace and Defence Stock Where Anand Rathi Sees 43% Upside Potential - Trade Brains,"This small-cap Defence Stock, engaged in precision engineering, manufacturing aerospace components, tooling solutions, and advanced assemblies for defence, semiconductor, and industrial sectors, is in focus after Anand Rathi assigned a Buy target of Rs. 1,435, which has an upside potential of 43.04 percent. With a market capitalization of Rs. 5,101.96 crore, the shares of **Unimech Aerospace and Manufacturing Limited** closed on Thursday at Rs. 1003.20 per equity share, down nearly 5 percent from its previous day’s close price of Rs. 1,055.95. Anand Rathi a prominent brokerage firm, has recommended a “Buy” call on Unimech Aerospace and Manufacturing Limited with a target price of Rs. 1,435 per share, indicating an upside potential of 43.04 percent from its previous day’s close price of Rs. 1003.20 per share. Anand Rathi holds a positive outlook on Unimech Aerospace and Manufacturing Ltd. The company’s acquisition of Hobel Bellows for Rs. 4.5 billion strengthens its capabilities in advanced engineering.",https://tradebrains.in/aerospace-and-defence-stock-where-anand-rathi-sees-43-upside-potential/,,,,Tavily,"This small-cap Defence Stock, engaged in precision engineering, manufacturing aerospace components, tooling solutions, and advanced assemblies for defence, semiconductor, and industrial sectors, is in focus after Anand Rathi assigned a Buy target of Rs. 1,435, which has an upside potential of 43.04 percent. With a market capitalization of Rs. 5,101.96 crore, the shares of **Unimech Aerospace and Manufacturing Limited** closed on Thursday at Rs. 1003.20 per equity share, down nearly 5 percent from its previo",0.125,,0.09401018
Hindustan Foods Q4 FY26: Contract Manufacturing Giant Posts Robust 31.70% Profit Growth Amid Margin Pressures - Markets Mojo,"Hindustan Foods Ltd., a prominent contract manufacturer of FMCG products spanning home care, personal care, and food & beverages, delivered a solid performance in Q4 FY26 with consolidated net profit surging 31.70% year-on-year to ₹41.55 crores, marking the company's strongest quarterly profit on record. The ₹6,273 crore market cap company saw its stock trading at ₹527.00 on May 22, 2026, down 0.45% from the previous close, as investors digested the results that showcased robust top-line expansion tempered by elevated interest costs and working capital pressures. The March 2026 quarter marked a continuation of Hindustan Foods' impressive growth trajectory, with net sales reaching an all-time high of ₹1,116.75 crores, representing a sequential increase of 6.99% from December 2025 and a robust 16.47% year-on-year expansion. Operating profit before depreciation, interest, tax, and other income (PBDIT excluding OI) climbed to ₹99.97 crores in Q4 FY26, the highest quarterly figure in the company's history, translating to an operating margin of 8.95%.",https://www.marketsmojo.com/news/result-analysis/hindustan-foods-q4-fy26-contract-manufacturing-giant-posts-robust-3170-profit-growth-amid-margin-pressures-4005136,,,,Tavily,"Hindustan Foods Ltd., a prominent contract manufacturer of FMCG products spanning home care, personal care, and food & beverages, delivered a solid performance in Q4 FY26 with consolidated net profit surging 31.70% year-on-year to ₹41.55 crores, marking the company's strongest quarterly profit on record. The ₹6,273 crore market cap company saw its stock trading at ₹527.00 on May 22, 2026, down 0.45% from the previous close, as investors digested the results that showcased robust top-line expansion tempered ",0.125,,0.04401865
Hindustan Zinc Joins Dow Jones ESG Index - Construction World,"The inclusion marks the company’s first entry into the global ESG benchmark index.Formerly known as the Dow Jones Sustainability Index, the benchmark tracks companies demonstrating strong environmental, social and governance (ESG) performance across global markets. Hindustan Zinc is among only 25 Indian companies included in the emerging markets index and one of only two companies from India’s metals and mining sector.The company was earlier ranked as the world’s most sustainable metals and mining company in the S&P Global Corporate Sustainability Assessment 2025. It also became the first Indian mining company to join the International Council on Mining and Metals (ICMM).Arun Misra, CEO, Hindustan Zinc, said the recognition reflects the company’s focus on responsible resource production, transparency and sustainable growth.Hindustan Zinc also highlighted initiatives including EcoZen, its low-carbon zinc product manufactured using renewable energy, and its roadmap to achieve net-zero emissions by 2050 or earlier. Hindustan Zinc is among only 25 Indian companies included in the emerging markets index and one of only two companies from India’s metals and mining sector.",https://www.constructionworld.in/resources-company-news/hindustan-zinc-joins-dow-jones-esg-index/91247,,,,Tavily,"The inclusion marks the company’s first entry into the global ESG benchmark index.Formerly known as the Dow Jones Sustainability Index, the benchmark tracks companies demonstrating strong environmental, social and governance (ESG) performance across global markets. Hindustan Zinc is among only 25 Indian companies included in the emerging markets index and one of only two companies from India’s metals and mining sector.The company was earlier ranked as the world’s most sustainable metals and mining company i",0.125,,0.0029579028
India shares higher at close of trade; Nifty 50 up 0.51% - Investing.com UK,"# India shares higher at close of trade; Nifty 50 up 0.51% By Investing.com. # India shares higher at close of trade; Nifty 50 up 0.51%. Image 1: India shares higher at close of trade; Nifty 50 up 0.51%. At the close in NSE, the Nifty 50 gained 0.51%, while the BSE Sensex 30 index climbed 0.46%. The biggest gainers of the session on the Nifty 50 were Adani Ports and Special Economic Zone Ltd (NSE:APSE), which rose 5.40% or 89.50 points to trade at 1,746.80 at the close. (NSE:EICH) added 3.11% or 221.00 points to end at 7,330.00 and Jio Financial Services Ltd (NSE:JIOF) was up 2.86% or 7.04 points to 253.41 in late trade. The top performers on the BSE Sensex 30 were Adani Port and Special Economic Zone Ltd (BO:APSE) which rose 5.49% to 1,746.00, Hindustan Unilever Ltd. The worst performers were Bharti Airtel Ltd (BO:BRTI) which was down 3.06% to 1,828.30 in late trade, Kotak Mahindra Bank Ltd.",https://m.uk.investing.com/news/stock-market-news/india-shares-higher-at-close-of-trade-nifty-50-up-051-4646625?ampMode=1,,,,Tavily,"# India shares higher at close of trade; Nifty 50 up 0.51% By Investing.com. # India shares higher at close of trade; Nifty 50 up 0.51%. Image 1: India shares higher at close of trade; Nifty 50 up 0.51%. At the close in NSE, the Nifty 50 gained 0.51%, while the BSE Sensex 30 index climbed 0.46%. The biggest gainers of the session on the Nifty 50 were Adani Ports and Special Economic Zone Ltd (NSE:APSE), which rose 5.40% or 89.50 points to trade at 1,746.80 at the close. (NSE:EICH) added 3.11% or 221.00 poin",0.125,,0.005001672
"Helix Energy Solutions and TechnipFMC Shares Plummet, What You Need To Know","A number of stocks fell in the morning session after WTI crude oil plunged on Iran-US peace deal progress and renewed hopes for reopening the Strait of Hormuz. Oilfield services companies (Schlumberger (SLB), Halliburton (HAL), Baker Hughes (BKR), TechnipFMC, and the offshore drillers) get paid only when oil producers spend money drilling new wells.",https://finnhub.io/api/news?id=43478b3818cd986c743d080c96e2f5800591831ac013829c8557ad5f4c4f9392,2026-05-28T03:15:24,,,Finnhub,"A number of stocks fell in the morning session after WTI crude oil plunged on Iran-US peace deal progress and renewed hopes for reopening the Strait of Hormuz. Oilfield services companies (Schlumberger (SLB), Halliburton (HAL), Baker Hughes (BKR), TechnipFMC, and the offshore drillers) get paid only when oil producers spend money drilling new wells.",0.125,,
Apache vs Prachand: Why India operates both attack helicopters and how they differ,"India is acquiring support for Boeing AH-64E Apache attack helicopters. This acquisition renews discussions on India's use of foreign and indigenous platforms. The LCH Prachand, developed by HAL, is designed for high-altitude operations. The Apache is suited …",https://economictimes.indiatimes.com/news/defence/apache-vs-prachand-why-india-operates-both-attack-helicopters-and-how-they-differ/articleshow/131292786.cms,2026-05-24T12:55:57Z,,,NewsAPI,"India is acquiring support for Boeing AH-64E Apache attack helicopters. This acquisition renews discussions on India's use of foreign and indigenous platforms. The LCH Prachand, developed by HAL, is designed for high-altitude operations. The Apache is suited …",0.125,,
"Stealth, skies and sovereignty: India's fighter jet plan takes off","The Defence Ministry has issued tenders for India’s indigenous fifth-generation Advanced Medium Combat Aircraft (AMCA) programme to three private sector-led groups — Tata Advanced Systems, the Larsen & Toubro-Bharat Electronics Limited alliance, and the Bhara…",https://economictimes.indiatimes.com/news/defence/stealth-skies-and-sovereignty-indias-fighter-jet-plan-takes-off-tata-larsen-and-toubro-bharat-electronics-bharat-forge/articleshow/131354395.cms,2026-05-27T15:50:51Z,,,NewsAPI,"The Defence Ministry has issued tenders for India’s indigenous fifth-generation Advanced Medium Combat Aircraft (AMCA) programme to three private sector-led groups — Tata Advanced Systems, the Larsen & Toubro-Bharat Electronics Limited alliance, and the Bhara…",0.125,,
Smart Sand Inc stock (US8324321045): steady trading as sector focus shifts to US frac sand demand,"Smart Sand Inc. (SND) stock traded steadily on Nasdaq, reflecting stable US oil and gas activity and consistent demand for frac sand. The Texas-based company specializes in providing proppant and logistics for US shale basins, positioning itself as an integrated mine-to-wellsite supplier. Its performance is closely tied to domestic drilling, well completion intensity, and oil prices within the energy services industry.",https://www.ad-hoc-news.de/boerse/news/ueberblick/smart-sand-inc-stock-us8324321045-steady-trading-as-sector-focus-shifts/69434934,20260528T184230,0.052871,Neutral,AlphaVantage,"Smart Sand Inc. (SND) stock traded steadily on Nasdaq, reflecting stable US oil and gas activity and consistent demand for frac sand. The Texas-based company specializes in providing proppant and logistics for US shale basins, positioning itself as an integrated mine-to-wellsite supplier. Its performance is closely tied to domestic drilling, well completion intensity, and oil prices within the energy services industry.",0.125,,
